Iteration	Plant	Treatment	Emitter	Receiver	Herbivory	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
1	1	A	LowI	High	wounded	14,62314607	50,05488764	7,083932584	1,531511236	1,253303371
1	2	A	LowI	High	wounded	15,11005495	45,63961538	7,119230769	0,551076923	1,081324176
1	3	A	LowI	High	wounded	13,12436019	42,70649289	6,717109005	1,452578199	0,855729858
1	4	A	LowI	High	wounded	22,05847291	42,35783251	6,819211823	1,334364532	0,769857143
1	5	A	LowI	High	wounded	39,49219101	53,1044382	8,997696629	1,563814607	1,063241573
1	6	A	LowI	High	wounded	17,09923529	51,73805882	9,509941176	1,726370588	1,168564706
1	7	B	LowNI	High	wounded	27,8432636	38,05096234	7,295648536	1,397527197	0,937849372
1	8	B	LowNI	High	wounded	27,34703518	41,55763819	6,645778894	1,533819095	0,858040201
1	9	B	LowNI	High	wounded	21,02664773	49,383125	8,250738636	1,425693182	1,068982955
1	10	B	LowNI	High	wounded	20,115	34,27543307	6,142322835	1,115637795	0,542673228
1	11	B	LowNI	High	wounded	32,35375	46,65956522	6,783423913	1,033233696	0,869070652
1	12	B	LowNI	High	wounded	24,4762449	34,52653061	7,119795918	1,132955102	0,639061224
1	13	C	LowI	Low	wounded	18,43454148	39,88790393	6,839126638	1,529812227	0,882117904
1	14	C	LowI	Low	wounded	12,491	47,6085	5,947277778	1,336083333	0,723038889
1	15	C	LowI	Low	wounded	10,58428571	69,65588235	10,08613445	1,629991597	1,089218487
1	16	C	LowI	Low	wounded	21,36422414	34,75025862	6,171551724	1,268560345	0,561271552
1	17	C	LowI	Low	wounded	5,894529412	50,134	6,059882353	0,897870588	0,958
1	18	C	LowI	Low	wounded	17,05041284	36,94481651	5,784724771	1,400238532	0,718862385
1	19	D	LowNI	Low	wounded	16,51737624	42,40311881	6,159554455	1,257910891	0,917084158
1	20	D	LowNI	Low	wounded	9,272690583	35,42654709	5,887443946	1,172811659	0,700560538
1	21	D	LowNI	Low	wounded	15,77651961	38,03191176	5,974313725	1,353779412	0,254760294
1	22	D	LowNI	Low	wounded	16,13760563	36,65276995	6,003333333	1,130647887	0,820253521
1	23	D	LowNI	Low	wounded	18,1327972	55,46426573	8,003426573	1,412314685	1,147496503
1	24	D	LowNI	Low	wounded	16,56914894	34,14174468	4,784	1,389455319	0,603174468
2	1	A	LowI	High	wounded	22,27634831	40,31241573	3,944561798	1,035308989	0,508496067
2	2	A	LowI	High	wounded	20,01032967	38,79412088	2,74421978	1,040247253	0,347924725
2	3	A	LowI	High	wounded	20,40739336	33,04924171	3,33035545	1,083218009	0,434138863
2	4	A	LowI	High	wounded	29,09625616	34,03157635	3,358921182	0,768640394	0,357085714
2	5	A	LowI	High	wounded	46,31157303	39,93393258	4,036455056	0,803213483	0,5061
2	6	A	LowI	High	wounded	15,49717647	41,23035294	4,527494118	1,315547059	0,294540588
2	7	B	LowNI	High	wounded	38,89	32,03004184	3,630891213	1,312213389	0,342483682
2	8	B	LowNI	High	wounded	38,65080402	33,36954774	3,810045226	1,122623116	0,450041206
2	9	B	LowNI	High	wounded	21,79920455	32,99130682	4,052965909	0,378971591	0,462076705
2	10	B	LowNI	High	wounded	36,87283465	27,67405512	3,689645669	0,959141732	0,350001181
2	11	B	LowNI	High	wounded	47,28103261	41,72663043	4,032679348	1,314184783	0,383142391
2	12	B	LowNI	High	wounded	46,30081633	28,59514286	4,333306122	1,097612245	0,214735918
2	13	C	LowI	Low	wounded	31,87689956	35,75126638	4,132611354	1,080624454	0,043252795
2	14	C	LowI	Low	wounded	25,6895	42,07961111	3,871166667	0,439979444	0,361338889
2	15	C	LowI	Low	wounded	11,37176471	50,83420168	3,466848739	0,864016807	0,425162185
2	16	C	LowI	Low	wounded	29,38508621	31,82797414	3,352400862	0,61925431	0,392027586
2	17	C	LowI	Low	wounded	7,258411765	32,25541176	2,791658824	1,072629412	0,467669412
2	18	C	LowI	Low	wounded	34,9509633	30,00752294	3,867788991	0,967784404	0,229040826
2	19	D	LowNI	Low	wounded	25,64227723	32,75351485	2,652747525	0,941752475	0,364284158
2	20	D	LowNI	Low	wounded	13,50484305	27,68506726	2,450721973	0,971591928	0,378061435
2	21	D	LowNI	Low	wounded	21,05519608	29,77455882	2,795176471	0,655598039	0,355223529
2	22	D	LowNI	Low	wounded	24,33164319	31,31661972	3,187807512	0,997779343	0,385074648
2	23	D	LowNI	Low	wounded	24,53048951	41,68797203	3,996846154	1,106202797	0,616898601
2	24	D	LowNI	Low	wounded	30,65102128	27,11770213	2,974621277	0,508502128	0,26544766
3	1	A	LowI	High	wounded	44,54432584	35,78140449	4,582533708	11,36893258	0,496344944
3	2	A	LowI	High	wounded	36,75021978	35,44868132	3,875005495	7,27	0,364363187
3	3	A	LowI	High	wounded	38,75398104	32,82236967	3,755180095	5,817772512	0,397036019
3	4	A	LowI	High	wounded	54,70197044	33,77305419	3,664448276	9,836995074	0,42875665
3	5	A	LowI	High	wounded	75,58258427	39,05606742	4,685606742	8,475337079	0,13611236
3	6	A	LowI	High	wounded	40,40241176	39,14676471	5,024911765	11,11617647	0,206011765
3	7	B	LowNI	High	wounded	65,7665272	38,53154812	4,508410042	23,09	0,491100418
3	8	B	LowNI	High	wounded	82,87738693	35,10874372	4,444211055	14,31874372	0,207138191
3	9	B	LowNI	High	wounded	57,06704545	36,83818182	4,793869318	7,489204545	0,386034659
3	10	B	LowNI	High	wounded	59,74370079	24,31649606	4,066496063	7,079094488	0,251240157
3	11	B	LowNI	High	wounded	90,54836957	45,21391304	4,720418478	21,91163043	0,467469565
3	12	B	LowNI	High	wounded	89,61061224	37,73469388	5,662163265	24,74036735	0,357062449
3	13	C	LowI	Low	wounded	51,33973799	37,46895197	4,93510917	14,38781659	0,471497817
3	14	C	LowI	Low	wounded	46,03205556	39,34405556	3,87575	13,38983333	0,32851
3	15	C	LowI	Low	wounded	25,28361345	48,61823529	4,261386555	7,497327731	0,607264706
3	16	C	LowI	Low	wounded	52,37801724	27,31193966	3,597737069	5,048146552	0,303664655
3	17	C	LowI	Low	wounded	49,19758824	36,89947059	4,141258824	10,95147059	0,210245294
3	18	C	LowI	Low	wounded	72,71788991	30,75931193	4,176587156	11,9043578	0,343904128
3	19	D	LowNI	Low	wounded	43,80262376	30,26623762	3,337450495	6,965148515	0,367969307
3	20	D	LowNI	Low	wounded	36,61811659	24,81004484	2,648632287	7,95309417	0,344840359
3	21	D	LowNI	Low	wounded	41,85431373	31,44607843	2,907607843	6,521323529	0,176634804
3	22	D	LowNI	Low	wounded	54,14507042	29,27615023	3,355464789	6,933755869	0,325985446
3	23	D	LowNI	Low	wounded	55,83664336	41,93685315	4,591671329	8,104895105	0,558004895
3	24	D	LowNI	Low	wounded	65,55489362	26,12489362	3,392165957	12,02451064	0,439182979
4	1	A	LowI	High	wounded	59,17022472	42,4011236	5,708146067	43,9197191	0,53470618
4	2	A	LowI	High	wounded	39,98582418	32,93928571	4,449873626	30,1939011	0,267441209
4	3	A	LowI	High	wounded	40,95398104	29,45270142	3,914232227	23,66620853	0,465165877
4	4	A	LowI	High	wounded	68,76157635	36,88541872	5,051921182	36,75788177	0,500369458
4	5	A	LowI	High	wounded	78,23089888	42,71651685	5,267573034	29,68539326	0,64247191
4	6	A	LowI	High	wounded	54,04976471	45,90676471	6,146352941	40,92088235	0,458860588
4	7	B	LowNI	High	wounded	70,13430962	49,76192469	7,097782427	51,65104603	0,478962343
4	8	B	LowNI	High	wounded	84,20552764	42,08984925	5,855175879	38,10658291	0,580040201
4	9	B	LowNI	High	wounded	64,25284091	39,38931818	5,641801136	29,33920455	0,447126705
4	10	B	LowNI	High	wounded	61,59330709	27,73818898	4,749015748	22,11409449	0,340743701
4	11	B	LowNI	High	wounded	93,72445652	50,00527174	5,4775	51,90201087	0,455336413
4	12	B	LowNI	High	wounded	97,40163265	52,36653061	8,654653061	56,45020408	0,7988
4	13	C	LowI	Low	wounded	58,11310044	52,77467249	7,349606987	49,49868996	0,492052402
4	14	C	LowI	Low	wounded	58,46722222	50,01172222	6,675444444	51,81972222	0,568927778
4	15	C	LowI	Low	wounded	47,53798319	60,10210084	5,517781513	40,81991597	0,668523529
4	16	C	LowI	Low	wounded	52,52887931	29,49443966	4,214943966	19,53935345	0,253524569
4	17	C	LowI	Low	wounded	70,46235294	45,55670588	6,671235294	47,09905882	0,091170588
4	18	C	LowI	Low	wounded	88,5853211	41,06114679	6,154633028	44,6496789	0,317286239
4	19	D	LowNI	Low	wounded	45,44420792	35,14292079	4,321331683	25,91188119	0,153574752
4	20	D	LowNI	Low	wounded	39,74793722	30,60775785	4,099026906	28,60098655	0,613457399
4	21	D	LowNI	Low	wounded	49,25784314	31,45916667	3,862887255	30,82426471	0,453148529
4	22	D	LowNI	Low	wounded	61,25305164	31,37244131	4,255812207	26,50676056	0,081128638
4	23	D	LowNI	Low	wounded	64,64608392	47,80531469	5,689202797	33,52748252	0,538885315
4	24	D	LowNI	Low	wounded	84,60723404	41,78008511	5,643574468	52,82340426	0,388034043
5	1	A	LowI	High	wounded	59,29775281	49,45674157	8,600449438	53,93685393	0,797578652
5	2	A	LowI	High	wounded	40,13813187	38,20598901	5,985824176	36,1860989	0,69439011
5	3	A	LowI	High	wounded	45,91203791	35,43331754	6,182701422	36,91900474	0,567957346
5	4	A	LowI	High	wounded	76,00246305	46,19054187	7,349162562	50,13793103	0,678024631
5	5	A	LowI	High	wounded	82,52640449	53,18511236	8,475674157	42,0891573	0,6545
5	6	A	LowI	High	wounded	57,01505882	63,13294118	10,68941176	50,38041176	0,544999412
5	7	B	LowNI	High	wounded	70,08200837	71,28577406	13,0534728	56,03179916	0,964702929
5	8	B	LowNI	High	wounded	82,12763819	55,87085427	9,485628141	52,0160804	0,615613065
5	9	B	LowNI	High	wounded	70,95113636	43,725625	7,581193182	39,30176136	0,675335227
5	10	B	LowNI	High	wounded	63,36456693	31,05535433	5,976929134	28,30984252	0,507338583
5	11	B	LowNI	High	wounded	110,8222826	70,77880435	11,11722826	71,39402174	1,149027174
5	12	B	LowNI	High	wounded	102,4746939	60,21673469	13,22816327	61,31836735	1,216710204
5	13	C	LowI	Low	wounded	55,5628821	75,69213974	12,80344978	66,68646288	0,930925764
5	14	C	LowI	Low	wounded	54,37572222	63,51333333	12,10955556	67,18166667	0,990272222
5	15	C	LowI	Low	wounded	60,3707563	69,94747899	10,13890756	58,10932773	0,525052941
5	16	C	LowI	Low	wounded	52,7137931	38,42887931	6,369181034	33,50409483	0,312876724
5	17	C	LowI	Low	wounded	77,06882353	60,73	12,22111765	67,77764706	1,003117647
5	18	C	LowI	Low	wounded	81,64036697	57,25137615	11,06380734	63,84724771	0,882692661
5	19	D	LowNI	Low	wounded	42,04405941	43,80514851	6,85970297	36,52678218	0,681039604
5	20	D	LowNI	Low	wounded	37,55874439	35,48479821	5,606412556	39,99040359	0,863013453
5	21	D	LowNI	Low	wounded	52,29558824	42,1377451	6,708529412	50,81421569	0,617833333
5	22	D	LowNI	Low	wounded	64,12676056	45,67760563	7,012206573	47,25023474	0,740004695
5	23	D	LowNI	Low	wounded	66,03055944	64,77272727	9,123146853	53,63342657	0,753902098
5	24	D	LowNI	Low	wounded	93,74170213	64,73021277	10,7852766	73,74085106	1,030455319
6	1	A	LowI	High	wounded	52,48022472	51,84455056	11,29494382	46,03157303	1,313764045
6	2	A	LowI	High	wounded	23,51994505	32,42241758	6,216483516	25,35313187	0,084654945
6	3	A	LowI	High	wounded	40,04625592	38,53327014	7,06507109	34,06270142	0,910952607
6	4	A	LowI	High	wounded	76,98522167	52,93546798	10,6820197	47,46610837	1,031128079
6	5	A	LowI	High	wounded	81,35674157	69,2511236	12,39522472	42,82617978	1,35905618
6	6	A	LowI	High	wounded	38,44970588	64,11058824	15,98470588	40,00364706	1,073352941
6	7	B	LowNI	High	wounded	60,07280335	81,10711297	19,57301255	47,5167364	1,319573222
6	8	B	LowNI	High	wounded	70,85778894	63,65427136	14,64190955	49,45733668	0,839
6	9	B	LowNI	High	wounded	63,02840909	45,61335227	9,910965909	35,62198864	0,898965909
6	10	B	LowNI	High	wounded	55,26850394	30,93015748	6,692874016	24,63724409	0,23033189
