Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
C	constitutive	High_RFR	Low_RFR	1	1	1	16,30028986	9,307536232	3,738483092	3,592371981	0,618077295
C	constitutive	High_RFR	Low_RFR	2	1	2	30,2807438	12,24409091	2,999871901	2,798690083	0,322871901
C	constitutive	High_RFR	Low_RFR	3	1	3	15,38715596	15,20614679	3,478816514	2,193366972	0,4565
C	constitutive	High_RFR	Low_RFR	1	1	4	11,16457627	12,58789831	1,321850847	0,878644068	0,425101695
C	constitutive	High_RFR	Low_RFR	2	1	5	23,39267677	13,36010101	1,612156566	1,558035354	0,636954545
C	constitutive	High_RFR	Low_RFR	3	1	6	21,03807971	13,49619565	2,087351449	2,193757246	0,412630435
C	constitutive	High_RFR	Low_RFR	1	1	7	15,81541667	6,946927083	1,790302083	0,453345833	0,224321875
C	constitutive	High_RFR	Low_RFR	2	1	8	5,748539326	4,929764045	1,577988764	0,390811798	0,306758427
C	constitutive	High_RFR	Low_RFR	3	1	9	9,078707483	5,996285714	1,620884354	0,420845578	0,408457143
D	hipvs	High_RFR	Low_RFR	1	1	10	8,537541899	12,07513966	3,096357542	1,385871508	0,47676648
D	hipvs	High_RFR	Low_RFR	2	1	11	22,92737374	14,63111111	4,466085859	2,857176768	0,611651515
D	hipvs	High_RFR	Low_RFR	3	1	12	30,19731034	16,66775862	3,972655172	4,882172414	0,45112069
D	hipvs	High_RFR	Low_RFR	1	1	13	41,12477612	22,26062687	3,240835821	2,584346269	0,820940299
D	hipvs	High_RFR	Low_RFR	2	1	14	27,65828571	16,09409524	2,621490476	1,091690476	0,64477619
D	hipvs	High_RFR	Low_RFR	3	1	15	34,57056225	18,93566265	2,948771084	1,972164659	0,789192771
D	hipvs	High_RFR	Low_RFR	1	1	16	20,7921164	6,721058201	1,764936508	0,44314709	0,280192593
D	hipvs	High_RFR	Low_RFR	2	1	17	7,296111111	6,524567901	1,886228395	0,387049383	0,352556173
D	hipvs	High_RFR	Low_RFR	3	1	18	28,28396341	6,480914634	2,338896341	0,809908537	0,444797561
G	constitutive	Low_RFR	Low_RFR	1	1	19	18,51700893	13,6215625	4,091946429	5,238883929	0,446535714
G	constitutive	Low_RFR	Low_RFR	2	1	20	20,12362903	10,41604839	2,575270161	2,252508065	0,3813125
G	constitutive	Low_RFR	Low_RFR	3	1	21	4,632632479	15,74384615	4,979470085	1,230863248	0,694680342
G	constitutive	Low_RFR	Low_RFR	1	1	22	11,36480427	10,74209964	1,819284698	0,821914591	0,370017794
G	constitutive	Low_RFR	Low_RFR	2	1	23	28,57609848	18,83901515	6,40155303	3,185681818	1,044916667
G	constitutive	Low_RFR	Low_RFR	3	1	24	21,39573333	12,429	2,13403	1,31259	0,601406667
G	constitutive	Low_RFR	Low_RFR	1	1	25	18,56915385	5,237123077	2,8577	0,496598462	0,367930769
G	constitutive	Low_RFR	Low_RFR	2	1	26	10,36666667	6,910769231	1,783423077	0,438683333	0,392499359
G	constitutive	Low_RFR	Low_RFR	3	1	27	8,181238095	7,964642857	4,245642857	0,559914286	0,717079762
H	hipvs	Low_RFR	Low_RFR	1	1	28	24,07987448	12,09686192	2,867523013	2,257577406	0,232989958
H	hipvs	Low_RFR	Low_RFR	2	1	29	13,72296154	17,80980769	4,212692308	3,239323077	0,329433846
H	hipvs	Low_RFR	Low_RFR	3	1	30	13,48615044	16,78646018	4,234469027	3,378668142	0,459300885
H	hipvs	Low_RFR	Low_RFR	1	1	31	33,55089494	18,50003891	3,399085603	3,175035019	0,743062257
H	hipvs	Low_RFR	Low_RFR	2	1	32	20,73493333	12,23542222	3,736524444	1,99436	0,488257778
H	hipvs	Low_RFR	Low_RFR	3	1	33	24,42369565	14,97043478	2,959037267	1,550627329	0,682506211
H	hipvs	Low_RFR	Low_RFR	1	1	34	11,60991765	9,570764706	2,252635294	0,722530588	0,655194118
H	hipvs	Low_RFR	Low_RFR	2	1	35	15,6850495	6,519405941	1,894014851	0,437215842	0,264294554
H	hipvs	Low_RFR	Low_RFR	3	1	36	29,79005618	8,67258427	2,31202809	0,549705618	0,42983764
