Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
A	constitutive	High_RFR	Low_RFR	1	1	1	11,89415584	10,18480519	3,701207792	3,400675325	0,517501299
A	constitutive	High_RFR	Low_RFR	2	1	2	15,21368132	11,24752747	2,86943956	5,141571429	0,522167582
A	constitutive	High_RFR	Low_RFR	3	1	3	24,14151163	19,14767442	4,442965116	2,971418605	0,870482558
A	constitutive	High_RFR	Low_RFR	1	1	4	14,46305842	7,602749141	1,484914089	0,612058419	0,193209622
A	constitutive	High_RFR	Low_RFR	2	1	5	27,16867347	11,4980102	2,17227551	2,246464286	0,023970153
A	constitutive	High_RFR	Low_RFR	3	1	6	19,58633858	7,208110236	2,051771654	1,838413386	0,316231102
A	constitutive	High_RFR	Low_RFR	1	1	7	11,69088608	5,068253165	1,430025316	0,703234177	0,303560759
A	constitutive	High_RFR	Low_RFR	2	1	8	14,7870098	3,821102941	1,599235294	0,731044118	0,296586275
A	constitutive	High_RFR	Low_RFR	3	1	9	15,52961111	3,077088889	1,207405556	0,512701111	0,096463333
B	hipvs	High_RFR	Low_RFR	1	1	10	20,39016575	11,71314917	2,68598895	3,840104972	0,522874586
B	hipvs	High_RFR	Low_RFR	2	1	11	30,08413333	11,0768	3,340553333	3,259033333	0,578256667
B	hipvs	High_RFR	Low_RFR	3	1	12	13,65346154	10,07610577	2,673850962	2,769403846	0,438286058
B	hipvs	High_RFR	Low_RFR	1	1	13	54,98745387	11,63287823	4,138634686	4,250258303	0,311990037
B	hipvs	High_RFR	Low_RFR	2	1	14	53,14268293	13,24504065	4,276707317	2,915772358	0,718747967
B	hipvs	High_RFR	Low_RFR	3	1	15	24,46728682	8,743217054	2,629197674	1,731178295	0,421817829
B	hipvs	High_RFR	Low_RFR	1	1	16	11,59608197	13,79111475	2,436245902	1,21722623	0,808236066
B	hipvs	High_RFR	Low_RFR	2	1	17	22,56050314	5,104622642	1,685786164	0,892056604	0,415145912
B	hipvs	High_RFR	Low_RFR	3	1	18	14,37087432	4,634546448	1,658535519	0,472942077	0,398102732
E	constitutive	Low_RFR	Low_RFR	1	1	19	25,14304054	13,84608108	2,952783784	3,383135135	0,366302027
E	constitutive	Low_RFR	Low_RFR	2	1	20	15,39266055	13,95380734	3,147908257	5,114724771	0,284902752
E	constitutive	Low_RFR	Low_RFR	3	1	21	37,35552174	12,13469565	2,861130435	5,792217391	0,339631304
E	constitutive	Low_RFR	Low_RFR	1	1	22	23,62772727	11,53948052	4,718454545	4,519649351	0,734857143
E	constitutive	Low_RFR	Low_RFR	2	1	23	41,94953782	11,60579832	2,42812605	2,226785714	0,304393697
E	constitutive	Low_RFR	Low_RFR	3	1	24	25,145	9,581521739	2,714777174	1,345152174	0,41601087
E	constitutive	Low_RFR	Low_RFR	1	1	25	7,418353659	2,120890244	1,591371951	0,383335366	0,267002439
E	constitutive	Low_RFR	Low_RFR	2	1	26	14,90814607	3,285050562	1,154	0,503124157	0,26330618
E	constitutive	Low_RFR	Low_RFR	3	1	27	17,03432584	5,349955056	1,585910112	0,879089888	0,146999438
F	hipvs	Low_RFR	Low_RFR	1	1	28	19,49646259	12,41829932	4,154142857	4,494360544	0,545846259
F	hipvs	Low_RFR	Low_RFR	2	1	29	45,02777778	19,27515152	5,276414141	12,43469697	0,462774242
F	hipvs	Low_RFR	Low_RFR	3	1	30	27,34393782	11,21321244	3,871870466	2,876626943	0,410640933
F	hipvs	Low_RFR	Low_RFR	1	1	31	38,46269841	11,00984127	3,19281746	2,000361111	0,578583333
F	hipvs	Low_RFR	Low_RFR	2	1	32	41,14768559	18,33877729	3,595615721	2,547751092	1,080187773
F	hipvs	Low_RFR	Low_RFR	3	1	33	21,8785567	13,82164948	3,944701031	4,541572165	0,561845361
F	hipvs	Low_RFR	Low_RFR	1	1	34	27,64156716	6,801119403	2,356	1,912126866	0,381854478
F	hipvs	Low_RFR	Low_RFR	2	1	35	20,4504	5,283112	2,110048	0,821264	0,3225056
F	hipvs	Low_RFR	Low_RFR	3	1	36	29,05026144	3,433026144	1,780522876	0,573978431	0,169466667
A	constitutive	High_RFR	Low_RFR	1	2	1	29,29402597	25,79045455	4,844448052	38,75175325	0,634796104
A	constitutive	High_RFR	Low_RFR	2	2	2	47,09972527	32,23802198	5,006478022	50,33653846	0,710192308
A	constitutive	High_RFR	Low_RFR	3	2	3	56,66697674	29,09581395	4,86972093	19,13930233	0,561333721
A	constitutive	High_RFR	Low_RFR	1	2	4	19,82137457	11,79436426	1,940391753	13,93226804	0,235619588
A	constitutive	High_RFR	Low_RFR	2	2	5	35,29357143	21,22688776	2,535102041	20,74897959	0,574586735
A	constitutive	High_RFR	Low_RFR	3	2	6	21,82177165	13,00444882	1,904732283	12,69555118	0,460826772
A	constitutive	High_RFR	Low_RFR	1	2	7	29,63575949	6,230303797	1,553050633	8,538481013	0,250803165
A	constitutive	High_RFR	Low_RFR	2	2	8	31,5577451	6,983088235	1,514955882	7,273039216	0,260118137
A	constitutive	High_RFR	Low_RFR	3	2	9	37,16477778	6,377833333	1,323705556	6,951111111	0,305164444
B	hipvs	High_RFR	Low_RFR	1	2	10	41,48751381	26,77867403	3,836723757	29,54066298	0,499698895
B	hipvs	High_RFR	Low_RFR	2	2	11	45,0586	19,42033333	4,365886667	18,93673333	0,91444
B	hipvs	High_RFR	Low_RFR	3	2	12	26,94706731	19,14581731	3,9721875	23,01485577	0,419161538
B	hipvs	High_RFR	Low_RFR	1	2	13	66,23062731	23,56583026	5,155830258	28,39656827	0,639833948
B	hipvs	High_RFR	Low_RFR	2	2	14	84,59674797	30,28402439	5,491219512	29,46971545	0,932743902
B	hipvs	High_RFR	Low_RFR	3	2	15	30,75751938	16,87054264	3,029372093	17,8729845	0,498786822
B	hipvs	High_RFR	Low_RFR	1	2	16	38,36721311	15,13503279	2,834655738	12,09201639	0,824972131
