Replication	Emitter_Treatments	LightEmitter	Herbivory_Emitter	Receiver	Plant	Monoterpenes	Indole	DMNT	Sesquiterpenes	TMTT	SUM_Volatiles
1	HighControl	HighR_FR	control	HighR_FR	1	440,6711039	389,7567532	341,1443766	94,5627987	9,197544156	1284,843648
1	HighControl	HighR_FR	control	HighR_FR	2	467,4190659	530,5754945	340,2468462	86,88251099	10,03407967	1443,705813
1	HighControl	HighR_FR	control	HighR_FR	3	256,9537209	381,410814	142,7711279	58,56904651	7,92502907	858,8127
2	HighControl	HighR_FR	control	HighR_FR	1	169,3661512	208,5515808	132,5111306	31,72829553	3,609832646	549,4910203
2	HighControl	HighR_FR	control	HighR_FR	2	215,6778061	274,4630612	156,2384541	41,96890306	6,525429337	704,6327814
2	HighControl	HighR_FR	control	HighR_FR	3	162,8655118	198,738189	112,6210118	34,6445748	4,714742913	521,7086012
3	HighControl	HighR_FR	control	HighR_FR	1	180,604	324,0394304	100,2903165	35,49582911	6,114685443	652,2754671
3	HighControl	HighR_FR	control	HighR_FR	2	127,7350245	269,8871078	93,96280882	26,7947598	4,951784314	534,3281275
3	HighControl	HighR_FR	control	HighR_FR	3	146,7898667	378,498	106,04459	25,422	6,144430556	667,3978167
1	HighHerb	HighR_FR	herbivory	HighR_FR	1	369,1406077	460,7561326	225,2403812	63,92652486	9,670628729	1136,887485
1	HighHerb	HighR_FR	herbivory	HighR_FR	2	239,8616667	346,1629333	141,3097667	50,41524	9,522716667	795,0775947
1	HighHerb	HighR_FR	herbivory	HighR_FR	3	213,2409135	317,9430769	158,5330721	59,97570192	6,117303365	761,6738966
2	HighHerb	HighR_FR	herbivory	HighR_FR	1	248,5231365	488,0904059	199,6121402	59,81904059	6,059805535	1007,118599
2	HighHerb	HighR_FR	herbivory	HighR_FR	2	401,4959756	616,9719512	242,9709756	72,79313008	9,611109756	1350,568972
2	HighHerb	HighR_FR	herbivory	HighR_FR	3	213,6730233	295,1996124	161,2311008	39,64302713	4,124748062	718,1437752
3	HighHerb	HighR_FR	herbivory	HighR_FR	1	293,9509016	597,4421475	184,8163902	44,99039344	10,19311475	1143,879766
3	HighHerb	HighR_FR	herbivory	HighR_FR	2	175,803805	375,3128302	102,3648239	35,38236478	6,349757233	701,0702981
3	HighHerb	HighR_FR	herbivory	HighR_FR	3	111,467224	319,534918	77,46916612	32,94034973	5,504134973	552,8734869
3	HighControl	HighR_FR	control	LowR_FR	1	553,5223188	389,3204348	350,9329517	112,3797536	9,819169082	1425,39085
1	HighControl	HighR_FR	control	LowR_FR	2	323,982562	307,3809504	209,6217479	66,40608264	7,404834711	923,4977893
1	HighControl	HighR_FR	control	LowR_FR	3	542,6068807	743,3486239	355,8683211	95,71794495	9,310752294	1758,599706
2	HighControl	HighR_FR	control	LowR_FR	1	275,9434915	176,4743051	127,3057627	44,0828678	4,203071186	632,7093356
2	HighControl	HighR_FR	control	LowR_FR	2	377,2945455	320,4505556	210,3202071	73,23454545	11,04159596	1000,151758
2	HighControl	HighR_FR	control	LowR_FR	3	406,7419928	372,1717754	255,8090833	74,02160145	6,809786232	1122,34692
3	HighControl	HighR_FR	control	LowR_FR	1	317,2159375	419,3794271	176,0950646	59,69895833	11,13813594	990,8039714
3	HighControl	HighR_FR	control	LowR_FR	2	193,782236	298,508764	128,0705871	36,84923034	9,957732584	672,6238573
3	HighControl	HighR_FR	control	LowR_FR	3	231,905551	352,5357823	115,4769952	36,77186395	6,658729252	752,398949
1	HighHerb	HighR_FR	herbivory	LowR_FR	1	352,192514	336,5355307	270,683581	65,35735196	5,912050279	1038,40686
1	HighHerb	HighR_FR	herbivory	LowR_FR	2	581,6783838	412,4745455	350,4237929	124,6949242	7,602989899	1486,807939
1	HighHerb	HighR_FR	herbivory	LowR_FR	3	510,7418966	421,1604483	276,0475172	102,9197931	6,207048276	1327,957255
2	HighHerb	HighR_FR	herbivory	LowR_FR	1	421,0019403	392,7149254	175,1632119	77,87597015	7,140895522	1081,091242
2	HighHerb	HighR_FR	herbivory	LowR_FR	2	289,4440952	270,2810952	171,191881	51,51802381	6,296104762	797,6364048
2	HighHerb	HighR_FR	herbivory	LowR_FR	3	382,4470281	370,8404016	201,6161406	51,96342972	7,447562249	1021,993779
3	HighHerb	HighR_FR	herbivory	LowR_FR	1	251,848836	435,8124339	140,8118455	41,49449206	6,135279894	882,5651466
3	HighHerb	HighR_FR	herbivory	LowR_FR	2	208,6891358	359,8551852	110,8633889	44,37054321	6,812151235	737,4469846
3	HighHerb	HighR_FR	herbivory	LowR_FR	3	304,9435366	637,215122	153,9499085	65,08168902	10,89984878	1178,025594
1	LowControl	LowR_FR	control	HighR_FR	1	379,3946622	462,2460135	221,7994189	63,13853378	8,075301351	1143,847943
