Light	Herbivory	Iteration	Plant	hac	hexenol	Hexenal
High	nw	it_1	1	3,011380952	15,2114966	8,357278912
High	nw	it_1	2	2,464467105	14,62835526	9,224802632
High	nw	it_1	3	1,084429319	9,987120419	7,353141361
High	nw	it_1	4	0,863005495	11,00126374	5,40410989
High	nw	it_1	5	1,195966346	9,596394231	5,681538462
High	nw	it_1	6	2,778365217	17,75817391	8,938434783
High	nw	it_1	7	0,850005814	10,14482558	5,9975
High	nw	it_1	8	1,871636364	13,98356643	10,32622378
High	w	it_1	9	14,90267327	40,73356436	2067,69802
High	w	it_1	10	5,628648438	30,83828125	658,6195313
High	w	it_1	11	7,519895833	29,38932292	656,0677083
High	w	it_1	12	18,42259259	52,24481481	2117,555556
High	w	it_1	13	13,69308725	43,19550336	1515,959732
High	w	it_1	14	13,00603352	38,85184358	1628,201117
High	w	it_1	15	17,06705128	46,99596154	2148,653846
High	w	it_1	16	16,55264901	52,98258278	3039,966887
Low	nw	it_1	17	0,867822222	7,462444444	4,440062222
Low	nw	it_1	18	1,679965318	9,767861272	7,807572254
Low	nw	it_1	19	1,256589474	9,465631579	9,158052632
Low	nw	it_1	20	1,230592308	13,37430769	12,73730769
Low	nw	it_1	21	0,930684211	6,480323887	6,567935223
Low	nw	it_1	22	1,638391304	12,13347826	12,91333333
Low	nw	it_1	23	1,574351351	11,41837838	10,38290541
Low	nw	it_1	24	0,796173913	6,986347826	6,635043478
Low	w	it_1	25	13,04419355	44,62822581	1571,822581
Low	w	it_1	26	17,13185629	33,66197605	1219,532934
Low	w	it_1	27	10,19090909	30,57927273	1225,806061
Low	w	it_1	28	8,801744966	38,5866443	1353,543624
Low	w	it_1	29	15,13064748	38,89496403	1592,043165
Low	w	it_1	30	6,48661157	25,19090909	1263,81405
Low	w	it_1	31	9,634855072	40,27347826	1452,094203
Low	w	it_1	32	18,70873494	45,54873494	2662,909639
High	nw	it_10	1	2,229727891	8,877346939	5,789557823
High	nw	it_10	2	1,665703947	9,771644737	6,297052632
High	nw	it_10	3	0,363858639	4,723937173	3,424324607
High	nw	it_10	4	0,759681319	6,865	5,000038462
High	nw	it_10	5	0,886485577	5,312307692	4,889663462
High	nw	it_10	6	1,764095652	11,8473913	8,950695652
High	nw	it_10	7	0,399160465	6,98744186	3,795994186
High	nw	it_10	8	1,186783217	7,739440559	6,694538462
High	w	it_10	9	2,41619802	5,874158416	7,093613861
High	w	it_10	10	2,2071875	9,579765625	6,90003125
High	w	it_10	11	1,820802083	6,312552083	6,514270833
High	w	it_10	12	2,531288889	7,701777778	7,832666667
High	w	it_10	13	3,118322148	7,833020134	7,706040268
High	w	it_10	14	1,671636872	6,200670391	8,095586592
High	w	it_10	15	2,247846154	7,894423077	8,109807692
High	w	it_10	16	2,379463576	7,008013245	8,357682119
Low	nw	it_10	17	0,0001	4,623555556	6,345466667
Low	nw	it_10	18	1,376179191	5,910346821	6,450924855
Low	nw	it_10	19	1,217136842	6,505578947	5,945473684
Low	nw	it_10	20	1,433953846	8,335538462	6,9026
Low	nw	it_10	21	0,831295547	4,372267206	3,698672065
Low	nw	it_10	22	0,972391304	7,431521739	10,07311594
Low	nw	it_10	23	1,408114865	6,612709459	7,81
Low	nw	it_10	24	1,088069565	3,782695652	5,300782609
Low	w	it_10	25	4,61241129	10,89991935	11,07258065
Low	w	it_10	26	3,34311976	6,066946108	7,975209581
Low	w	it_10	27	0,0001	6,530909091	9,757939394
Low	w	it_10	28	2,446174497	9,980536913	9,95409396
Low	w	it_10	29	3,249978417	8,460719424	10,72719424
Low	w	it_10	30	1,860289256	5,207355372	5,515041322
Low	w	it_10	31	3,412985507	9,042971014	7,860434783
